                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                          14                          11     -0.1869948270000000E+03      0.1000000000000000E-01     -0.2090229246810599E+03      0.1895920683791506E-06
                          14                          12     -0.2060344850000000E+03      0.1040000000000000E-03     -0.2196893717978400E+03      0.2106548775642084E-06
                          14                          13     -0.2193492840000000E+03      0.1080000000000000E-03     -0.2290518421065221E+03      0.1849311269383342E-06
                          14                          14     -0.2365289090000000E+03      0.1000000000000000E-05     -0.2397182892233021E+03      0.2047215506687679E-06
                          14                          15     -0.2450024920000000E+03      0.1000000000000000E-05     -0.2490807595319843E+03      0.1808221893855995E-06
                          14                          16     -0.2556116970000000E+03      0.3000000000000000E-04     -0.2597472066487643E+03      0.1992212898261123E-06
                          14                          17     -0.2621990980000000E+03      0.3100000000000000E-04     -0.2691096769574465E+03      0.1773036372521519E-06
                          14                          18     -0.2713990530000000E+03      0.2880000000000000E-03     -0.2797761240742265E+03      0.1941908969979191E-06
                          14                          19     -0.2759070240000000E+03      0.6930000000000000E-03     -0.2891385943829087E+03      0.1744112053068991E-06
                          14                          20     -0.2834208710000000E+03      0.1411000000000000E-01     -0.2925419647761647E+03      0.2073804280337139E-06
                          14                          21     -0.2859267820000000E+03      0.3584000000000000E-01     -0.3019044350848469E+03      0.1807840543064718E-06
                          14                          22     -0.2920427610000000E+03      0.7178400000000000E-01     -0.3125708822016269E+03      0.2023138591553425E-06
                          14                          23     -0.2942494880000000E+03      0.1138120000000000E+00     -0.3146702757867851E+03      0.2072235611930402E-06
                          14                          24     -0.2999195790000000E+03      0.1048040000000000E+00     -0.3253367229035651E+03      0.2321272489410952E-06
                          14                          25     -0.3015002580000000E+03      0.1355250000000000E+00     -0.3274361164887233E+03      0.2473771586115547E-06
                          14                          26     -0.3064622370000000E+03      0.3451200000000000E+00     -0.3381025636055033E+03      0.2735513590950608E-06
                          14                          27     -0.3078435700000000E+03      0.5546890000000000E+00     -0.3402019571906615E+03      0.2957100558978122E-06
                          14                          28     -0.3115480770000000E+03      0.5040000000000000E+00     -0.3508684043074415E+03      0.3221377914677334E-06
                          14                          29     -0.3129890770000000E+03      0.6020000000000000E+00     -0.3529677978925997E+03      0.3488388452890654E-06
                          14                          30     -0.3156480770000000E+03      0.6160000000000000E+00     -0.3636342450093797E+03      0.3751137048786984E-06
                          14                          31     -0.3147670770000000E+03      0.7200000000000000E+00     -0.3657336385945378E+03      0.4048799415546416E-06
                          15                           9     -0.1486466560000000E+03      0.5040000000000000E+00     -0.1895655960016417E+03      0.2889124661936841E-06
                          15                          10     -0.1702906560000000E+03      0.4000000000000000E+00     -0.2002320431184218E+03      0.2054272852468669E-06
                          15                          11     -0.1871386560000000E+03      0.2080000000000000E+00     -0.2168575901506279E+03      0.2826486033382967E-06
                          15                          12     -0.2069034820000000E+03      0.2635200000000000E-01     -0.2275240372674079E+03      0.1857118477500798E-06
                          15                          13     -0.2214000680000000E+03      0.1148000000000000E-02     -0.2368865075760901E+03      0.2811524479021750E-06
                          15                          14     -0.2392765000000000E+03      0.3480000000000000E-03     -0.2475529546928701E+03      0.1814563940325053E-06
                          15                          15     -0.2505958360000000E+03      0.6000000000000000E-04     -0.2569154250015523E+03      0.2800820203061995E-06
                          15                          16     -0.2629068330000000E+03      0.1000000000000000E-05     -0.2675818721183323E+03      0.1777828130639530E-06
                          15                          17     -0.2708424960000000E+03      0.3200000000000000E-04     -0.2769443424270145E+03      0.2794422129552746E-06
                          15                          18     -0.2809462540000000E+03      0.1089000000000000E-02     -0.2876107895437945E+03      0.1747278096117122E-06
                          15                          19     -0.2872289460000000E+03      0.8160000000000000E-03     -0.2969732598524766E+03      0.2792359858775395E-06
                          15                          20     -0.2956093710000000E+03      0.1855000000000000E-02     -0.3076397069692567E+03      0.1723242856581820E-06
                          15                          21     -0.2990739040000000E+03      0.1310400000000000E-01     -0.3097391005544149E+03      0.2776698232587639E-06
