                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                          46                          67     -0.9595247810000000E+03      0.6893000000000000E-02     -0.9654883635076998E+03      0.1997344963412937E-06
                          46                          68     -0.9674959290000000E+03      0.6954000000000000E-02     -0.9688917339009558E+03      0.2246531855413653E-06
                          46                          69     -0.9725026590000000E+03      0.1357000000000000E-01     -0.9782542042096380E+03      0.2159730760668277E-06
                          46                          70     -0.9799792690000000E+03      0.7076000000000000E-02     -0.9889206513264180E+03      0.2287750095330382E-06
                          46                          71     -0.9846434819999999E+03      0.7254000000000000E-02     -0.9910200449115761E+03      0.2477700434071589E-06
                          46                          72     -0.9916789850000000E+03      0.2478000000000000E-02     -0.1001686492028356E+04      0.2641534816799743E-06
                          46                          73     -0.9957695050000000E+03      0.8211000000000000E-02     -0.1003785885613515E+04      0.2900530011935121E-06
                          46                          74     -0.1002712989000000E+04      0.2280000000000000E-02     -0.1014452332730295E+04      0.3085631913362702E-06
                          46                          75     -0.1006686607000000E+04      0.3388000000000000E-02     -0.1023814803038977E+04      0.2937386628569255E-06
                          46                          76     -0.1013191739000000E+04      0.1952000000000000E-01     -0.1027218173432233E+04      0.3586649529557566E-06
                          46                          77     -0.1017076602000000E+04      0.7894139999999999E+00     -0.1036580643740915E+04      0.3415827510112244E-06
                          46                          78     -0.1023110789000000E+04      0.2480000000000000E+00     -0.1039984014134171E+04      0.4123893526475276E-06
                          46                          79     -0.1026862789000000E+04      0.3750000000000000E+00     -0.1049346484442853E+04      0.3937896313858173E-06
                          46                          80     -0.1032684789000000E+04      0.3780000000000000E+00     -0.1052749854836109E+04      0.4684917631533120E-06
                          46                          81     -0.1036055789000000E+04      0.5080000000000000E+00     -0.1062112325144791E+04      0.4488394992118230E-06
                          46                          82     -0.1041526789000000E+04      0.5120000000000000E+00     -0.1065515695538047E+04      0.5262121343860395E-06
                          46                          83     -0.1042698789000000E+04      0.6450000000000000E+00     -0.1074878165846729E+04      0.5058049451968836E-06
                          47                          45     -0.7427554670000000E+03      0.4600000000000000E+00     -0.7713020421212091E+03      0.3110737705740243E-06
                          47                          46     -0.7599444670000000E+03      0.3720000000000000E+00     -0.7819684892379892E+03      0.2101138101506650E-06
                          47                          47     -0.7742274670000000E+03      0.3760000000000000E+00     -0.7913309595466712E+03      0.3158784692216811E-06
                          47                          48     -0.7894954670000000E+03      0.2850000000000000E+00     -0.8019974066634513E+03      0.2155021956801300E-06
                          47                          49     -0.8024433070000000E+03      0.9004800000000000E-01     -0.8113598769721334E+03      0.3209895590850985E-06
