                      Radius                ground state               first excited              second excited
      0.5749373433583921E+01     -0.4868308143932700E+02     -0.4476457982564970E+02     -0.3834524096555962E+02
      0.5769423558897204E+01     -0.4869149802157015E+02     -0.4479773252750309E+02     -0.3841782248862965E+02
      0.5789473684210487E+01     -0.4869983433185660E+02     -0.4483057393627259E+02     -0.3848974246277945E+02
      0.5809523809523769E+01     -0.4870809138524261E+02     -0.4486310789489533E+02     -0.3856100866022235E+02
      0.5829573934837052E+01     -0.4871627018081769E+02     -0.4489533818799015E+02     -0.3863162874441615E+02
      0.5849624060150335E+01     -0.4872437170202026E+02     -0.4492726854290137E+02     -0.3870161027177378E+02
      0.5869674185463618E+01     -0.4873239691694143E+02     -0.4495890263075670E+02     -0.3877096069336371E+02
      0.5889724310776900E+01     -0.4874034677861172E+02     -0.4499024406744241E+02     -0.3883968735651955E+02
      0.5909774436090183E+01     -0.4874822222525253E+02     -0.4502129641456625E+02     -0.3890779750644182E+02
      0.5929824561403466E+01     -0.4875602418057951E+02     -0.4505206318042821E+02     -0.3897529828781185E+02
      0.5949874686716749E+01     -0.4876375355405955E+02     -0.4508254782096731E+02     -0.3904219674633286E+02
      0.5969924812030031E+01     -0.4877141124117352E+02     -0.4511275374067385E+02     -0.3910849983027308E+02
      0.5989974937343314E+01     -0.4877899812367587E+02     -0.4514268429348555E+02     -0.3917421439199047E+02
      0.6010025062656597E+01     -0.4878651506984032E+02     -0.4517234278367585E+02     -0.3923934718939380E+02
      0.6030075187969880E+01     -0.4879396293469192E+02     -0.4520173246672407E+02     -0.3930390488741504E+02
      0.6050125313283162E+01     -0.4880134256029301E+02     -0.4523085655016168E+02     -0.3936789405947415E+02
      0.6070175438596445E+01     -0.4880865477592832E+02     -0.4525971819439425E+02     -0.3943132118886004E+02
      0.6090225563909728E+01     -0.4881590039835691E+02     -0.4528832051352492E+02     -0.3949419267013482E+02
      0.6110275689223011E+01     -0.4882308023204880E+02     -0.4531666657616933E+02     -0.3955651481052673E+02
      0.6130325814536294E+01     -0.4883019506937790E+02     -0.4534475940620138E+02     -0.3961829383124446E+02
      0.6150375939849576E+01     -0.4883724569086963E+02     -0.4537260198355659E+02     -0.3967953586882495E+02
      0.6170426065162859E+01     -0.4884423286538455E+02     -0.4540019724497269E+02     -0.3974024697643480E+02
      0.6190476190476142E+01     -0.4885115735035295E+02     -0.4542754808471620E+02     -0.3980043312515839E+02
